"endowdecile","carnegie_label","endowperfte_wmean"
1,"Public research",113.321714067296
2,"Public research",216.914432771577
3,"Public research",323.393478972347
4,"Public research",460.291791841586
5,"Public research",630.950882746281
6,"Public research",846.272701181192
7,"Public research",1069.14594504425
8,"Public research",1457.59292345889
9,"Public research",2225.53932376129
10,"Public research",5114.42858426059
1,"Public master's",34.7512121645137
2,"Public master's",66.021196731482
3,"Public master's",91.2282785230702
4,"Public master's",113.170628732655
5,"Public master's",146.831329647699
6,"Public master's",179.745619756361
7,"Public master's",215.498621355952
8,"Public master's",251.910283025985
9,"Public master's",324.076299952813
10,"Public master's",640.730595605381
1,"Private nonprofit research",368.314823074204
2,"Private nonprofit research",1095.09188208673
3,"Private nonprofit research",1654.80752010199
4,"Private nonprofit research",2098.7497611675
5,"Private nonprofit research",2373.04367674404
6,"Private nonprofit research",3263.90038064288
7,"Private nonprofit research",4979.05631884907
8,"Private nonprofit research",7806.1220595093
9,"Private nonprofit research",16921.1893514078
10,"Private nonprofit research",51644.6279450922
1,"Private nonprofit master's",52.6060966697426
2,"Private nonprofit master's",166.311171318696
3,"Private nonprofit master's",304.253955028355
4,"Private nonprofit master's",430.808451013267
5,"Private nonprofit master's",562.41658628712
6,"Private nonprofit master's",705.676540295088
7,"Private nonprofit master's",940.508857572102
8,"Private nonprofit master's",1225.07772410183
9,"Private nonprofit master's",1707.89387673641
10,"Private nonprofit master's",3152.51256525851
1,"Private nonprofit bachelor's",107.134266144847
2,"Private nonprofit bachelor's",273.36077923471
3,"Private nonprofit bachelor's",554.335620211417
4,"Private nonprofit bachelor's",940.057168877607
5,"Private nonprofit bachelor's",1424.66495616564
6,"Private nonprofit bachelor's",2034.2481955661
7,"Private nonprofit bachelor's",2825.20754557266
8,"Private nonprofit bachelor's",4757.3405840047
9,"Private nonprofit bachelor's",8464.81868785407
10,"Private nonprofit bachelor's",25293.0536363453
