"abbrev","fips","sector","year","ft_gp","ft_ug","pt_gp","pt_ug","tot_gp","tot_ug","tot_all"
"DE",10,1,"1988",1273,15500,1248,4307,2521,19807,22328
"DE",10,1,"1989",1410,15803,1333,4534,2743,20337,23080
"DE",10,1,"1990",1486,15855,1339,4744,2825,20599,23424
"DE",10,1,"1991",1606,16102,1319,4718,2925,20820,23745
"DE",10,1,"1992",1653,16164,1433,4822,3086,20986,24072
"DE",10,1,"1993",1749,16541,1584,5162,3333,21703,25036
"DE",10,1,"1994",1798,16608,1685,4875,3483,21483,24966
"DE",10,1,"1995",1774,16169,1723,4874,3497,21043,24540
"DE",10,1,"1996",1796,16520,1788,4604,3584,21124,24708
"DE",10,1,"1997",1852,16570,1661,4403,3513,20973,24486
"DE",10,1,"1998",2256,16985,1136,4125,3392,21110,24502
"DE",10,1,"1999",2299,17180,1058,3828,3357,21008,24365
"DE",10,1,"2000",2238,17074,972,1891,3210,18965,22175
"DE",10,1,"2001",2267,17592,934,3499,3201,21091,24292
"DE",10,1,"2002",2442,17922,966,3326,3408,21248,24656
"DE",10,1,"2003",2486,17935,1001,2877,3487,20812,24299
"DE",10,1,"2004",2595,18199,996,2718,3591,20917,24508
"DE",10,1,"2005",2630,18400,1086,2588,3716,20988,24704
"DE",10,1,"2006",2714,17940,1119,2297,3833,20237,24070
"DE",10,1,"2007",2575,18156,1212,2155,3787,20311,24098
"DE",10,1,"2008",2747,18164,1076,2047,3823,20211,24034
"DE",10,1,"2009",2966,18616,1055,2110,4021,20726,24747
"DE",10,1,"2010",3015,18959,1040,1920,4055,20879,24934
"DE",10,1,"2011",3065,19739,962,1877,4027,21616,25643
"DE",10,1,"2012",3172,20087,929,1992,4101,22079,26180
"DE",10,1,"2013",3180,20431,943,1948,4123,22379,26502
"DE",10,1,"2014",3217,20946,897,2017,4114,22963,27077
"DC",11,1,"1980",194,3855,442,9409,636,13264,13900
"DC",11,1,"1984",244,4497,416,7675,660,12172,12832
"DC",11,1,"1985",227,4250,388,7215,615,11465,12080
"DC",11,1,"1986",244,3953,399,6502,643,10455,11098
"DC",11,1,"1987",273,3108,298,5976,571,9084,9655
"DC",11,1,"1988",251,3634,466,6912,717,10546,11263
"DC",11,1,"1989",344,3821,467,7340,811,11161,11972
"DC",11,1,"1990",350,3961,519,7319,869,11280,12149
"DC",11,1,"1991",462,3622,483,7070,945,10692,11637
"DC",11,1,"1992",474,3750,448,7149,922,10899,11821
"DC",11,1,"1993",515,3658,392,6327,907,9985,10892
"DC",11,1,"1994",479,3535,386,6469,865,10004,10869
"DC",11,1,"1995",407,3306,356,5873,763,9179,9942
"DC",11,1,"1996",384,2484,247,4621,631,7105,7736
"DC",11,1,"1997",280,1630,142,2835,422,4465,4887
"DC",11,1,"1998",252,1669,161,3328,413,4997,5410
"DC",11,1,"1999",254,1589,151,3355,405,4944,5349
"DC",11,1,"2000",238,1699,253,3309,491,5008,5499
"DC",11,1,"2001",204,1751,245,3389,449,5140,5589
"DC",11,1,"2002",215,1803,208,3377,423,5180,5603
"DC",11,1,"2003",251,1900,167,3106,418,5006,5424
"DC",11,1,"2004",286,1935,136,3031,422,4966,5388
"DC",11,1,"2005",316,1966,110,3203,426,5169,5595
"DC",11,1,"2006",326,2460,143,2840,469,5300,5769
"DC",11,1,"2007",360,2436,111,2701,471,5137,5608
"DC",11,1,"2008",366,2622,97,2499,463,5121,5584
"DC",11,1,"2009",363,2182,120,2588,483,4770,5253
"DC",11,1,"2010",391,2314,138,2997,529,5311,5840
"DC",11,1,"2011",427,2210,195,2480,622,4690,5312
"DC",11,1,"2012",377,2003,242,2854,619,4857,5476
"DC",11,1,"2013",408,1986,227,2726,635,4712,5347
"DC",11,1,"2014",380,1902,244,2589,624,4491,5115
"FL",12,1,"1980",12088,145564,14453,117282,26541,262846,289387
"FL",12,1,"1984",10604,142114,12696,169257,23300,311371,334671
"FL",12,1,"1985",11505,138298,19082,137149,30587,275447,306034
"FL",12,1,"1986",12144,147821,20305,183017,32449,330838,363287
"FL",12,1,"1987",12327,153552,19984,194845,32311,348397,380708
"FL",12,1,"1988",13349,163809,20155,197168,33504,360977,394481
"FL",12,1,"1989",14268,180740,22121,234456,36389,415196,451585
"FL",12,1,"1990",15283,177933,22894,242062,38177,419995,458172
"FL",12,1,"1991",16262,197083,23420,230175,39682,427258,466940
"FL",12,1,"1992",17145,196811,22839,239244,39984,436055,476039
"FL",12,1,"1993",17616,196736,23879,244118,41495,440854,482349
"FL",12,1,"1994",18253,200898,25391,248094,43644,448992,492636
"FL",12,1,"1995",18676,203214,25292,247883,43968,451097,495065
"FL",12,1,"1996",19344,204798,25515,248422,44859,453220,498079
"FL",12,1,"1997",19413,210774,24792,248095,44205,458869,503074
"FL",12,1,"1998",20776,212752,23308,244656,44084,457408,501492
"FL",12,1,"1999",9035,224747,13864,238120,22899,462867,485766
"FL",12,1,"2000",24264,224200,23750,252382,48014,476582,524596
"FL",12,1,"2001",25709,241241,23599,265262,49308,506503,555811
"FL",12,1,"2002",27497,264072,24394,266709,51891,530781,582672
"FL",12,1,"2003",28751,278259,25155,274806,53906,553065,606971
"FL",12,1,"2004",29472,286142,25396,271518,54868,557660,612528
"FL",12,1,"2005",30637,290448,25188,265860,55825,556308,612133
"FL",12,1,"2006",32037,295771,25400,262432,57437,558203,615640
"FL",12,1,"2007",33940,309583,26516,274546,60456,584129,644585
"FL",12,1,"2008",34833,317844,27527,288986,62360,606830,669190
"FL",12,1,"2009",36402,344822,27942,304810,64344,649632,713976
"FL",12,1,"2010",37852,360123,27444,317744,65296,677867,743163
"FL",12,1,"2011",38482,363913,26928,326436,65410,690349,755759
"FL",12,1,"2012",39204,356609,26639,337769,65843,694378,760221
"FL",12,1,"2013",38914,352471,26268,335790,65182,688261,753443
"FL",12,1,"2014",39376,345666,25957,342500,65333,688166,753499
"GA",13,1,"1980",7895,65190,11633,24754,19528,89944,109472
"GA",13,1,"1984",9042,70740,10473,28545,19515,99285,118800
"GA",13,1,"1985",9170,70947,10666,27769,19836,98716,118552
"GA",13,1,"1986",9935,71890,10845,29368,20780,101258,122038
"GA",13,1,"1987",10356,74999,11277,30274,21633,105273,126906
"GA",13,1,"1988",10997,78147,10832,32324,21829,110471,132300
"GA",13,1,"1989",11496,82012,11438,34140,22934,116152,139086
"GA",13,1,"1990",12045,84680,11808,36739,23853,121419,145272
"GA",13,1,"1991",13322,89491,11944,39206,25266,128697,153963
"GA",13,1,"1992",13722,92569,12033,40974,25755,133543,159298
"GA",13,1,"1993",14552,94725,12166,41604,26718,136329,163047
"GA",13,1,"1994",15148,96146,12352,40878,27500,137024,164524
"GA",13,1,"1995",15808,99195,12244,40258,28052,139453,167505
"GA",13,1,"1996",15872,99222,12157,38708,28029,137930,165959
"GA",13,1,"1997",16630,101616,11860,36894,28490,138510,167000
"GA",13,1,"1998",13338,98149,13233,38997,26571,137146,163717
"GA",13,1,"1999",7306,98798,8707,39268,16013,138066,154079
"GA",13,1,"2000",14487,100187,14300,39319,28787,139506,168293
"GA",13,1,"2001",15648,105544,14642,40349,30290,145893,176183
"GA",13,1,"2002",17021,113129,15557,41586,32578,154715,187293
"GA",13,1,"2003",18154,119232,16120,43391,34274,162623,196897
"GA",13,1,"2004",17577,122555,15044,42466,32621,165021,197642
"GA",13,1,"2005",17439,126541,14229,41480,31668,168021,199689
"GA",13,1,"2006",18007,131216,14073,41059,32080,172275,204355
"GA",13,1,"2007",19486,136410,14320,40075,33806,176485,210291
"GA",13,1,"2008",20469,144758,15116,40713,35585,185471,221056
"GA",13,1,"2009",22225,157227,14918,41603,37143,198830,235973
"GA",13,1,"2010",22611,164184,14450,43655,37061,207839,244900
"GA",13,1,"2011",22574,166648,14443,46932,37017,213580,250597
"GA",13,1,"2012",22418,166526,13948,48343,36366,214869,251235
"GA",13,1,"2013",24987,187928,14762,57444,39749,245372,285121
"GA",13,1,"2014",25121,189226,16348,57778,41469,247004,288473
"HI",15,1,"1980",2836,15595,2939,3819,5775,19414,25189
"HI",15,1,"1984",2544,15341,2973,4862,5517,20203,25720
"HI",15,1,"1985",2629,14584,3011,4299,5640,18883,24523
"HI",15,1,"1986",2623,13902,2941,5184,5564,19086,24650
"HI",15,1,"1987",2379,13737,2249,5954,4628,19691,24319
"HI",15,1,"1988",2573,13836,2974,5162,5547,18998,24545
"HI",15,1,"1989",2790,14044,3234,5117,6024,19161,25185
"HI",15,1,"1990",2994,14352,3296,5595,6290,19947,26237
"HI",15,1,"1991",3122,13501,3493,5128,6615,18629,25244
"HI",15,1,"1992",3130,13518,3676,5670,6806,19188,25994
"HI",15,1,"1993",3199,14135,3712,5462,6911,19597,26508
"HI",15,1,"1994",3350,14344,3618,5255,6968,19599,26567
"HI",15,1,"1995",3127,14424,3420,5139,6547,19563,26110
"HI",15,1,"1996",2625,13616,3309,4995,5934,18611,24545
"HI",15,1,"1997",2569,13367,2935,4559,5504,17926,23430
"HI",15,1,"1998",2466,13274,2974,4496,5440,17770,23210
"HI",15,1,"1999",527,13237,197,4793,724,18030,18754
"HI",15,1,"2000",2554,13122,3216,4588,5770,17710,23480
"HI",15,1,"2001",2724,13457,2943,4760,5667,18217,23884
"HI",15,1,"2002",2860,14645,3152,4902,6012,19547,25559
"HI",15,1,"2003",3125,15502,3070,5260,6195,20762,26957
"HI",15,1,"2004",3250,15881,3154,5382,6404,21263,27667
"HI",15,1,"2005",3304,15954,3196,5373,6500,21327,27827
"HI",15,1,"2006",3221,15572,3330,5448,6551,21020,27571
"HI",15,1,"2007",3212,15400,3320,5613,6532,21013,27545
"HI",15,1,"2008",3397,15637,3381,5954,6778,21591,28369
"HI",15,1,"2009",3724,16324,3289,6519,7013,22843,29856
"HI",15,1,"2010",3734,16492,3308,6720,7042,23212,30254
"HI",15,1,"2011",3519,16637,3118,7483,6637,24120,30757
"HI",15,1,"2012",3407,17267,2953,7335,6360,24602,30962
"HI",15,1,"2013",3193,17333,2900,7060,6093,24393,30486
"HI",15,1,"2014",3218,17001,2725,6957,5943,23958,29901
"ID",16,1,"1980",1278,17557,2054,8192,3332,25749,29081
"ID",16,1,"1984",1306,17772,3855,6697,5161,24469,29630
"ID",16,1,"1985",1252,17220,3737,6336,4989,23556,28545
"ID",16,1,"1986",1268,16973,3964,6415,5232,23388,28620
"ID",16,1,"1987",1387,17655,3868,6871,5255,24526,29781
"ID",16,1,"1988",1536,17825,3614,6804,5150,24629,29779
"ID",16,1,"1989",1629,19653,4171,7640,5800,27293,33093
"ID",16,1,"1990",1721,20447,4843,8698,6564,29145,35709
"ID",16,1,"1991",1800,22366,4634,9136,6434,31502,37936
"ID",16,1,"1992",1992,23395,4875,9476,6867,32871,39738
"ID",16,1,"1993",1975,23707,4561,10191,6536,33898,40434
"ID",16,1,"1994",2198,24040,5312,10079,7510,34119,41629
"ID",16,1,"1995",2251,23954,4958,10286,7209,34240,41449
"ID",16,1,"1996",2284,24324,4577,10159,6861,34483,41344
"ID",16,1,"1997",2293,24600,4561,9873,6854,34473,41327
"ID",16,1,"1998",2336,24395,4738,10994,7074,35389,42463
"ID",16,1,"1999",873,25172,1307,11549,2180,36721,38901
"ID",16,1,"2000",2412,25551,4332,11360,6744,36911,43655
"ID",16,1,"2001",2556,26776,4540,11911,7096,38687,45783
"ID",16,1,"2002",2776,27845,4243,11655,7019,39500,46519
"ID",16,1,"2003",3045,29012,4317,11945,7362,40957,48319
"ID",16,1,"2004",3049,29124,4103,12007,7152,41131,48283
"ID",16,1,"2005",2861,29157,3922,12349,6783,41506,48289
"ID",16,1,"2006",2895,28437,3545,11764,6440,40201,46641
"ID",16,1,"2007",2913,28408,3739,12936,6652,41344,47996
"ID",16,1,"2008",2987,28998,3762,12304,6749,41302,48051
"ID",16,1,"2009",3298,30602,3791,10892,7089,41494,48583
"ID",16,1,"2010",3590,31723,3841,10226,7431,41949,49380
"ID",16,1,"2011",3515,31847,3522,10203,7037,42050,49087
"ID",16,1,"2012",3357,30866,3948,14970,7305,45836,53141
"ID",16,1,"2013",3403,29922,3944,14366,7347,44288,51635
"ID",16,1,"2014",3495,29523,3730,14914,7225,44437,51662
"IL",17,1,"1980",12036,124355,29537,20397,41573,144752,186325
"IL",17,1,"1984",14880,121035,26963,21715,41843,142750,184593
"IL",17,1,"1985",15081,121891,27726,22546,42807,144437,187244
"IL",17,1,"1986",16878,122507,30773,25523,47651,148030,195681
"IL",17,1,"1987",16199,123658,31238,25962,47437,149620,197057
"IL",17,1,"1988",16050,122425,30017,24896,46067,147321,193388
"IL",17,1,"1989",16254,123422,30072,25165,46326,148587,194913
"IL",17,1,"1990",16776,125866,31325,24497,48101,150363,198464
