,Average account size
2002,13200.23658
2003,15891.50261
2004,16897.57882
2005,17180.99171
2006,17053.83492
2007,17652.63111
2008,12170.44259
2009,15067.99554
2010,17414.78813
2011,16726.07631
2012,18335.36974
2013,20606.50712
2014,21199.08624
2015,20880.24403
2016,21383
