Public four year,Lowest quintile,20069
Public four year,2nd,22899
Public four year,3rd,24908
Public four year,4th,27064
Public four year,Highest quintile,31495
Private nonprofit four year,Lowest quintile,29649
Private nonprofit four year,2nd,43775
Private nonprofit four year,3rd,52166
Private nonprofit four year,4th,61903
Private nonprofit four year,Highest quintile,70720
Public two year,Lowest quintile,13219
Public two year,2nd,16335
Public two year,3rd,18225
Public two year,4th,19818
Public two year,Highest quintile,24427
For-profit,Lowest quintile,18705
For-profit,2nd,21527
For-profit,3rd,24453
For-profit,4th,30328
For-profit,Highest quintile,39708
