,No work,1-7,8-14,15-21,22-28,29-34,35 or more
Dependent,0.427632,0.058026,0.130971,0.183865,0.080799,0.052137,0.06657
Independent,0.354974,0.020654,0.054449,0.12068,0.070799,0.066872,0.311571
