Income,Debt,10-year Fixed ,Family size = 1,Family size = 3
25000,10000,265.78,56.58333333,0
,30000,318.93,56.58333333,0
,50000,531.55,56.58333333,0
50000,10000,265.78,264.9166667,156.9166667
,30000,318.93,264.9166667,156.9166667
,50000,531.55,264.9166667,156.9166667
75000,10000,265.78,473.25,365.25
,30000,318.93,473.25,365.25
,50000,531.55,473.25,365.25
