,Tuition and fees,Room and board,Books and supplies,Transportation,Other
2002-03,26770,7750,990,1450,2150
2007-08,29080,8120,1100,1510,2150
2012-13,24750,7840,1320,1780,2320
2017-18,25950,8400,1420,1780,2410
