Age groups,Not employed,Part-year or part-time,Full-year or full-time
18-20,0.3358,0.5324,0.1318
21-23,0.2274,0.4348,0.3378
24-26,0.2276,0.3381,0.4344
27-29,0.2337,0.2971,0.4692
30-34,0.4359,0.1879,0.3762
Total,0.398,0.2379,0.3641
