"state","year_fiscal","appropriations_local","appropriations_net","enrollment_fte","appropriations_state","fips","year_cpi","year_axis","cpi_all","cpi_multiplier","approp_state_aged","approp_local_aged","approp_perstudent_aged"
"United States",2015,9074453322,77573178606.75,11136560.3,68498725284.75,"00",2014,"'14–'15",236.736,1,68498725284.75,9074453322,6965.63180345281
"Alabama",2000,2946995,812248992,166806,809301997,"01",1999,"'99–'00",166.6,1.4209843937575,1150005507.57378,4187633.90348139,6919.37425198891
"Alabama",2001,2776875,803362761,165833,800585886,"01",2000,"'00–'01",172.2,1.37477351916376,1100624275.88906,3817574.21602787,6659.96424176785
"Alabama",2002,2910762,816569084,173687,813658322,"01",2001,"'01–'02",177.1,1.33673630717109,1087646620.64931,3890921.24693394,6284.50915667977
"Alabama",2003,1744000,853896083,180654,852152083,"01",2002,"'02–'03",179.9,1.31593107281823,1121373404.78648,2294983.790995,6220.00281520186
"Alabama",2004,420422,858965823,183167,858545401,"01",2003,"'03–'04",184,1.28660869565217,1104611978.53878,540918.601043478,6033.58081499302
"Alabama",2005,505100,882129435,180517,881624335,"01",2004,"'04–'05",188.9,1.25323451561673,1104882046.42965,633008.75383801,6124.16035710478
"Alabama",2006,582891,1017232186,180985,1016649295,"01",2005,"'05–'06",195.3,1.21216589861751,1232347606.25253,706560.59281106,6813.01857527058
"Alabama",2007,2642643,1211654323,182504,1209011680,"01",2006,"'06–'07",201.6,1.17428571428571,1419725144.22857,3103217.92285714,7796.14891811373
"Alabama",2008,2409762,1416023516,187086,1413613754,"01",2007,"'07–'08",207.342,1.14176577827936,1614015808.02222,2751383.78539804,8641.83953800724
"Alabama",2009,2468331,1136882694,199153,1134414363,"01",2008,"'08–'09",215.303,1.09954807875413,1247343133.34774,2714048.60877926,6276.86844765842
"Alabama",2010,2180111,1136929049,210067,1134748938,"01",2009,"'09–'10",214.537,1.10347399283107,1252165941.47568,2405695.78998494,5972.24522302725
"Alabama",2011,2201425,1136580631,212758,1134379206,"01",2010,"'10–'11",218.056,1.08566606743222,1231557011.5549,2390012.42249697,5799.76792401414
"Alabama",2012,1449511,1070652706,206364,1069203195,"01",2011,"'11–'12",224.939,1.0524453296227,1125277908.99542,1525531.08218673,5460.27136553664
"Alabama",2013,1458348,998984984,197110,997526636,"01",2012,"'12–'13",229.594,1.03110708467991,1028556781.53652,1503712.95472878,5225.81550652554
"Alabama",2014,2396117,1009986884,194439,1007590767,"01",2013,"'13–'14",232.957,1.01622187785729,1023935781.3524,2434986.51730577,5278.62603628752
"Alabama",2015,2937000,1039465012,195411,1036528012,"01",2014,"'14–'15",236.736,1,1036528012,2937000,5319.37819262989
"Alaska",2000,704731,158135919,15968,157431188,"02",1999,"'99–'00",166.6,1.4209843937575,223707261.238703,1001411.75279712,14072.4369358405
"Alaska",2001,714731,173278954,16079,172564223,"02",2000,"'00–'01",172.2,1.37477351916376,237236724.13547,982593.252125436,14815.555531289
"Alaska",2002,7e+05,180786574,16706,180086574,"02",2001,"'01–'02",177.1,1.33673630717109,240728261.899853,935715.415019763,14465.699587865
"Alaska",2003,704966,193715366,17974,193010400,"02",2002,"'02–'03",179.9,1.31593107281823,253988382.737076,927686.664680378,14182.4896740712
"Alaska",2004,719558,195000926,18802,194281368,"02",2003,"'03–'04",184,1.28660869565217,249964097.472,925789.579826087,13343.7872062454
"Alaska",2005,703784,209378420,18720,208674636,"02",2004,"'04–'05",188.9,1.25323451561673,261518256.368957,882006.400338804,14017.1080539154
"Alaska",2006,805794,227219357,18785,226413563,"02",2005,"'05–'06",195.3,1.21216589861751,274450800.053088,976756.008110599,14662.1004025125
"Alaska",2007,716731,258734454,18656,258017723,"02",2006,"'06–'07",201.6,1.17428571428571,302986526.151429,841646.974285714,16285.8154548518
"Alaska",2008,716731,272581036,18703,271864305,"02",2007,"'07–'08",207.342,1.14176577827936,310405359.784703,818338.928031947,16640.3089725036
"Alaska",2009,716731,290771590,19010,290054859,"02",2008,"'08–'09",215.303,1.09954807875413,318929262.946749,788080.194033525,16818.3768090891
"Alaska",2010,782000,302853868,20271,302071868,"02",2009,"'09–'10",214.537,1.10347399283107,333328450.303901,862916.662393899,16486.1806011689
"Alaska",2011,782000,315361051,21070,314579051,"02",2010,"'10–'11",218.056,1.08566606743222,341527801.195729,848990.864731995,16249.4917921434
"Alaska",2012,957000,326547501,21654,325590501,"02",2011,"'11–'12",224.939,1.0524453296227,342666202.146964,1007190.18044892,15871.1273818885
"Alaska",2013,880000,336709787,21131,335829787,"02",2012,"'12–'13",229.594,1.03110708467991,346276472.622246,907374.234518324,16430.0717834823
"Alaska",2014,933000,352303876,20464,351370876,"02",2013,"'13–'14",232.957,1.01622187785729,357070771.43308,948135.012040849,17495.0599318374
"Alaska",2015,1e+06,348072461,19904,347072461,"02",2014,"'14–'15",236.736,1,347072461,1e+06,17487.5633540997
"Arizona",2000,285345100,1025683900,180669,740338800,"04",1999,"'99–'00",166.6,1.4209843937575,1052009880.89316,405470933.935174,8067.13279438272
"Arizona",2001,309781300,1083028700,185330,773247400,"04",2000,"'00–'01",172.2,1.37477351916376,1063040049.28223,425879127.972125,8033.88106218289
"Arizona",2002,399846800,1167774400,192181,767927600,"04",2001,"'01–'02",177.1,1.33673630717109,1026516704.19876,534489734.866177,8122.58464189975
"Arizona",2003,430541800,1175596896,205553,745055096,"04",2002,"'02–'03",179.9,1.31593107281823,980441151.787971,566563332.767093,7526.06132994928
"Arizona",2004,463569000,1216008472,212980,752439472,"04",2003,"'03–'04",184,1.28660869565217,968095167.62713,596431906.434783,7345.8872854818
"Arizona",2005,479196300,1283962600,218212,804766300,"04",2004,"'04–'05",188.9,1.25323451561673,1008560904.16517,600545342.915828,7374.05022217383
"Arizona",2006,539476800,1412995700,227283,873518900,"04",2005,"'05–'06",195.3,1.21216589861751,1058849822.37788,653935380.0553,7535.9142673811
"Arizona",2007,599062600,1575882500,229558,976819900,"04",2006,"'06–'07",201.6,1.17428571428571,1147065654,703470653.142857,8061.30175007125
"Arizona",2008,649953300,1738974300,233255,1089021000,"04",2007,"'07–'08",207.342,1.14176577827936,1243406909.62757,742094435.419741,8512.14912883888
"Arizona",2009,702392700,1789226500,245680,1086833800,"04",2008,"'08–'09",215.303,1.09954807875413,1195026016.71505,772314543.815925,8007.73591880077
"Arizona",2010,731263100,1685588400,259953,954325300,"04",2009,"'09–'10",214.537,1.10347399283107,1053073149.25071,806929812.767028,7155.15097736029
"Arizona",2011,742101400,1624285900,275071,882184500,"04",2010,"'10–'11",218.056,1.08566606743222,957757776.864659,805674308.573944,6410.82515219199
"Arizona",2012,746127700,1368502900,275238,622375200,"04",2011,"'11–'12",224.939,1.0524453296227,655015872.512992,785258613.167125,5232.8329870153
"Arizona",2013,761866000,1396881200,270644,635015200,"04",2012,"'12–'13",229.594,1.03110708467991,654768671.599432,785565430.176747,5321.87708493881
"Arizona",2014,796614000,1455671000,270127,659057000,"04",2013,"'13–'14",232.957,1.01622187785729,669748142.15499,809536575.007405,5476.25641702753
"Arizona",2015,808155600,1487268200,274235,679112600,"04",2014,"'14–'15",236.736,1,679112600,808155600,5423.33473116123
"Arkansas",2000,0,466828459,86263,466828459,"05",1999,"'99–'00",166.6,1.4209843937575,663355954.800864,0,7689.9244728431
"Arkansas",2001,4180560,451439485,87337,447258925,"05",2000,"'00–'01",172.2,1.37477351916376,614879726.299652,5747323.18327526,7106.11824865666
"Arkansas",2002,7464145,469364655,92722,461900510,"05",2001,"'01–'02",177.1,1.33673630717109,617439182.017843,9977593.62348955,6766.64411511111
"Arkansas",2003,10137447,467643771,92508,457506324,"05",2002,"'02–'03",179.9,1.31593107281823,602046787.762446,13340181.506348,6652.25676988794
"Arkansas",2004,13524071,510063319,96292,496539248,"05",2003,"'03–'04",184,1.28660869565217,638851714.209391,17400187.3492174,6815.22765711179
"Arkansas",2005,11987740,500047256,99231,488059516,"05",2004,"'04–'05",188.9,1.25323451561673,611653031.126395,15023449.5322393,6315.32969191719
"Arkansas",2006,16272339,590353209,101344,574080870,"05",2005,"'05–'06",195.3,1.21216589861751,695881253.662673,19724774.4265438,7061.15831316325
"Arkansas",2007,17498042,628684148,103369,611186106,"05",2006,"'06–'07",201.6,1.17428571428571,717707113.045714,20547700.7485714,7141.93630386562
"Arkansas",2008,19289216,696190431.72,107428,676901215.72,"05",2007,"'07–'08",207.342,1.14176577827936,772862643.384794,22023766.7186388,7399.24796238813
"Arkansas",2009,20509302.3,702271943.3,108474,681762641,"05",2008,"'08–'09",215.303,1.09954807875413,749630802.07789,22550963.9405526,7118.58847298378
"Arkansas",2010,30593853,770927093,118884,740333240,"05",2009,"'09–'10",214.537,1.10347399283107,816938476.368365,33759521.1259969,7155.69797024294
"Arkansas",2011,30362189,823150391,124085,792788202,"05",2010,"'10–'11",218.056,1.08566606743222,860703249.572,32963198.3302638,7202.05059356299
"Arkansas",2012,31189985,820522787,124426,789332802,"05",2011,"'11–'12",224.939,1.0524453296227,830729620.982898,32825754.044252,6940.31291713267
"Arkansas",2013,30741742,812501020,122431,781759278,"05",2012,"'12–'13",229.594,1.03110708467991,806077530.060054,31698027.971602,6842.83848070877
"Arkansas",2014,32302295,801842013,119608,769539718,"05",2013,"'13–'14",232.957,1.01622187785729,782023097.311727,32826298.884,6812.66634502481
"Arkansas",2015,32849863,802848187,116948,769998324,"05",2014,"'14–'15",236.736,1,769998324,32849863,6865.00142798509
"California",2000,1585317000,8521351000,1433493,6936034000,"06",1999,"'99–'00",166.6,1.4209843937575,9855996068.57143,2252710716.15846,8446.99401024623
"California",2001,1694472000,9501482000,1277325,7807010000,"06",2000,"'00–'01",172.2,1.37477351916376,10732870611.8467,2329515234.56446,10226.3604379552
"California",2002,1830559000,10158258000,1309404,8327699000,"06",2001,"'01–'02",177.1,1.33673630717109,11131937608.4924,2446974677.7188,10370.2999885529
"California",2003,1990431000,10171168400,1413927,8180737400,"06",2002,"'02–'03",179.9,1.31593107281823,10765286543.2262,2619270001.20067,9466.228839556
"California",2004,2100441000,9621845000,1401271,7521404000,"06",2003,"'03–'04",184,1.28660869565217,9677103789.91304,2702445655.30435,8834.5148406107
"California",2005,1738654000,9726133000,1433492,7987479000,"06",2004,"'04–'05",188.9,1.25323451561673,10010184375.5638,2178941203.51509,8503.09982830659
"California",2006,1817879000,10669002554,1373351,8851123554,"06",2005,"'05–'06",195.3,1.21216589861751,10729030136.609,2203570931.6129,9416.8213866826
"California",2007,1851009000,11535362950,1434993,9684353950,"06",2006,"'06–'07",201.6,1.17428571428571,11372198495.5714,2173613425.71429,9439.63623605531
"California",2008,2051728000,12304846069,1507467,10253118069,"06",2007,"'07–'08",207.342,1.14176577827936,11706659331.842,2342592816.73756,9319.77426277296
"California",2009,1961601000,12120243750,1624753,10158642750,"06",2008,"'08–'09",215.303,1.09954807875413,11169916118.5121,2156874610.83218,8202.34874429789
"California",2010,1999769000,10979981750,1612044,8980212750,"06",2009,"'09–'10",214.537,1.10347399283107,9909431219.71501,2206693083.1698,7516.00099183696
"California",2011,1965362000,11671930738,1586699,9706568738,"06",2010,"'10–'11",218.056,1.08566606743222,10538092310.045,2133726833.62072,7986.27789118522
"California",2012,1960362000,10086912000,1526534,8126550000,"06",2011,"'11–'12",224.939,1.0524453296227,8552749593.44533,2063173831.26981,6954.26595458414
"California",2013,2263986000,10675058041,1487136,8411072041,"06",2012,"'12–'13",229.594,1.03110708467991,8672715971.22824,2334412004.21614,7401.56110499939
"California",2014,2182485000,11982801776,1517902,9800316776,"06",2013,"'13–'14",232.957,1.01622187785729,9959296317.70299,2217889005.09536,8022.37912776869
"California",2015,2262734000,13437281422,1539822,11174547422,"06",2014,"'14–'15",236.736,1,11174547422,2262734000,8726.51606614271
"Colorado",2000,28716368,599990516,141727,571274148,"08",1999,"'99–'00",166.6,1.4209843937575,811771648.865114,40805510.7733974,6015.62976453683
"Colorado",2001,39634053,636952730,141492,597318677,"08",2000,"'00–'01",172.2,1.37477351916376,821177899.641533,54487846.5215331,6188.80039976159
"Colorado",2002,34144580,641166356,147724,607021776,"08",2001,"'01–'02",177.1,1.33673630717109,811428047.222677,45642299.7791079,5801.83549729079
"Colorado",2003,42503188,532070639,156258,489567451,"08",2002,"'02–'03",179.9,1.31593107281823,644237021.011317,55931265.783035,4480.84761608591
"Colorado",2004,43645672,516092315,161181,472446643,"08",2003,"'03–'04",184,1.28660869565217,607853959.115478,56154901.1227826,4119.64723036996
