"fips","year","taxes_state","taxes_local","abbrev"
"00",2000,539655337000,332695777000,"US"
"00",2001,559679125000,354439491000,"US"
"00",2002,535191161000,369909641000,"US"
"00",2003,548990867000,389980887000,"US"
"00",2004,590404186000,420141385000,"US"
"00",2005,650611855000,447900824000,"US"
"00",2006,715973170000,489693462000,"US"
"00",2007,757467232000,526028677000,"US"
"00",2008,779720337000,549878466000,"US"
"00",2009,713474529000,568681604000,"US"
"00",2010,705929253000,572917382000,"US"
"00",2011,762378532000,581791062000,"US"
"00",2012,797953030000,589963273000,"US"
"00",2013,847434611000,608064019000,"US"
"01",2000,6438438000,2976651000,"AL"
"01",2001,6747707000,,"AL"
"01",2002,6509765000,3209062000,"AL"
"01",2003,6416351000,,"AL"
"01",2004,7018242000,3517124000,"AL"
"01",2005,7774147000,3886797000,"AL"
"01",2006,8529676000,4226349000,"AL"
"01",2007,8868314000,4642148000,"AL"
"01",2008,9070530000,4951589000,"AL"
"01",2009,8306446000,5247534000,"AL"
"01",2010,8419911000,5146165000,"AL"
"01",2011,8631984000,5258179000,"AL"
"01",2012,9049294000,5223750000,"AL"
"01",2013,9267567000,5457216000,"AL"
"02",2000,1423287000,888514000,"AK"
"02",2001,1428698000,,"AK"
"02",2002,1089504000,980404000,"AK"
"02",2003,1120133000,,"AK"
"02",2004,1343191000,1025695000,"AK"
"02",2005,1858311000,1088723000,"AK"
"02",2006,2484422000,1180306000,"AK"
"02",2007,3688447000,1256331000,"AK"
"02",2008,8732385000,1310362000,"AK"
"02",2009,4955884000,1573859000,"AK"
"02",2010,4522927000,1603713000,"AK"
"02",2011,5537679000,1712130000,"AK"
"02",2012,7049398000,1629167000,"AK"
"02",2013,5132811000,1659934000,"AK"
"04",2000,8100737000,5232875000,"AZ"
"04",2001,8360376000,,"AZ"
"04",2002,8477321000,5943001000,"AZ"
"04",2003,8691761000,,"AZ"
"04",2004,9637369000,6843805000,"AZ"
"04",2005,11008428000,7134814000,"AZ"
"04",2006,13355582000,7939195000,"AZ"
"04",2007,14404976000,8925170000,"AZ"
"04",2008,13153271000,9279184000,"AZ"
"04",2009,11134403000,9476307000,"AZ"
"04",2010,10719958000,9396218000,"AZ"
"04",2011,12265219000,9305896000,"AZ"
"04",2012,12996421000,9142313000,"AZ"
"04",2013,13471690000,9184720000,"AZ"
"05",2000,4870561000,1090774000,"AR"
"05",2001,4986747000,,"AR"
"05",2002,5176050000,1234805000,"AR"
"05",2003,5145554000,,"AR"
"05",2004,5580678000,1392487000,"AR"
"05",2005,6538720000,1501477000,"AR"
"05",2006,7015781000,1726347000,"AR"
"05",2007,7391778000,1769433000,"AR"
"05",2008,7530504000,1874615000,"AR"
"05",2009,7467679000,2004239000,"AR"
"05",2010,7559898000,1935672000,"AR"
"05",2011,7952824000,2003797000,"AR"
"05",2012,8287744000,2105899000,"AR"
"05",2013,8586407000,2178289000,"AR"
"06",2000,83807959000,36259622000,"CA"
"06",2001,90453746000,,"CA"
"06",2002,77755376000,42668690000,"CA"
"06",2003,79198255000,,"CA"
"06",2004,85721483000,48320620000,"CA"
"06",2005,98434685000,48239918000,"CA"
"06",2006,111346857000,58698632000,"CA"
"06",2007,114736981000,65037569000,"CA"
"06",2008,117361976000,68653400000,"CA"
"06",2009,101007459000,70143444000,"CA"
"06",2010,107195465000,67832125000,"CA"
"06",2011,119164086000,68764865000,"CA"
"06",2012,115178568000,68497725000,"CA"
"06",2013,133184246000,71469137000,"CA"
