"statefip","year","year_type","dollars","tufees_prnp4","tufees_pub4","tufees_pub2","tufeesrmbd_prnp4","tufeesrmbd_pub4"
0,1971,"academic",2015,10742.3618673219,2509.67842751843,1125.83705159705,17174.8787714988,8238.54717444717
0,1972,"academic",2015,11095.4174701671,2864.98715990453,1327.12128878282,17588.6289260143,8851.27245823389
0,1973,"academic",2015,11016.8720090293,2769.03286681716,1476.09923250564,17346.8595936795,8598.00866817156
0,1974,"academic",2015,10290.1421052632,2473.49894736842,1338.20157894737,16502.8757894737,7951.91263157895
0,1975,"academic",2015,10087.7548708487,2386.54,1078.78653136531,16212.6204428044,7833.31118081181
0,1976,"academic",2015,10591.0549211909,2578.80066549912,1182.82105078809,16622.1884063047,8091.66626970228
0,1977,"academic",2015,10563.3737704918,2562.5962295082,1197.18236065574,16588.4091803279,7973.39101639344
0,1978,"academic",2015,10744.8787214612,2499.14691019787,1187.82127853881,16745.7372907154,7791.67168949772
0,1979,"academic",2015,10528.8529411765,2409.39332421341,1158.99001367989,16366.2448974008,7600.36268125855
0,1980,"academic",2015,10437.8659975816,2320.16706166868,1128.33995163241,16143.0529141475,7361.6245949214
0,1981,"academic",2015,10715.9814628821,2368.3022489083,1130.74056768559,16492.1377729258,7477.47794759825
0,1982,"academic",2015,11355.0349333333,2523.61306666667,1157.77786666667,17442.5477333333,7822.95573333333
0,1983,"academic",2015,12166.815035035,2742.49041041041,1261.35447447447,18535.6995595596,8201.19301301301
0,1984,"academic",2015,12737.3835158501,2815.2460326609,1338.84664745437,19374.3031123919,8441.1530067243
0,1985,"academic",2015,13551.0309276438,2917.86615955473,1419.08361781076,19707.7728014842,8543.28187384044
0,1986,"academic",2015,14511.0349954338,3081.79685844749,1438.46246575342,21472.3215342466,8826.92876712329
0,1987,"academic",2015,14780.609771529,3114.24595782074,1549.78300527241,21925.5498242531,8805.87123022847
0,1988,"academic",2015,16119.718278481,3178.02541772152,1609.15228691983,23482.7480168776,8972.18202531646
0,1989,"academic",2015,16619.4501768489,3253.67511254019,1613.40847266881,24089.8575401929,9045.44702572347
0,1990,"academic",2015,17093.7757668712,3491.96190184049,1658.13285276074,24663.3535582822,9286.27604294478
0,1991,"academic",2015,17192.9004992658,3691.95284875184,2051.86368575624,24860.6677826725,9553.16892804699
0,1992,"academic",2015,17747.0248540925,3964.54402846975,1895.64316014235,25524.9370676157,9909.66146619217
0,1993,"academic",2015,18191.5829501385,4189.66682825485,2057.64702216066,26104.8471606648,10266.7496398892
0,1994,"academic",2015,18846.2683692722,4350.12850404313,2106.71657681941,26531.7634231806,10646.1555256065
0,1995,"academic",2015,19117.3591081967,4399.05832131148,2081.37586885246,27201.8611672131,10552.4191606557
0,1996,"academic",2015,19752.0387006369,4522.2652866242,2226.93063694267,27904.2769299363,10856.476866242
0,1997,"academic",2015,20497.4790654206,4625.87285981308,2330.03624922118,28787.1740809969,11105.9609096573
0,1998,"academic",2015,21509.5691544118,4748.22020833333,2272.47742647059,29923.8774632353,11360.9247916667
0,1999,"academic",2015,22216.1534013197,4813.16585482903,2360.77052189562,30744.4190161968,11567.6323935213
0,2000,"academic",2015,22197.0317592593,4844.89717592593,2267.76543981481,30715.6537037037,11655.0989930556
0,2001,"academic",2015,23363.8904676056,5063.49838873239,2162.00356056338,32075.0976,12143.791143662
0,2002,"academic",2015,23931.6559689062,5430.33921154914,2218.24983897835,32951.7435757912,12816.5546252082
0,2003,"academic",2015,24592.1332245786,6027.99255029908,2477.38165307232,33815.1564872213,13665.1800978793
0,2004,"academic",2015,25257.758342133,6459.03064413939,2619.64976768743,34607.3501055966,14334.3606335797
0,2005,"academic",2015,25624.1602865916,6708,2665.01037871034,35105.5881371546,14796.792272262
0,2006,"academic",2015,26161.6384864865,6806.62317444717,2657.44454054054,35765.2630859951,15054.5523243243
0,2007,"academic",2015,26832.8213154105,7093.16809409506,2628.28745079213,36655.1004416707,15533.7058665386
0,2008,"academic",2015,26926.746976778,7159.70679747595,2584.39484642942,36671.9335891328,15593.1665545271
0,2009,"academic",2015,28524.2014478688,7838.36500410957,2846.98991878375,38864.9032509717,16883.57003218
0,2010,"academic",2015,29300.415868924,8351,3001.63417442239,39917.79364344,17709.8605666687
0,2011,"academic",2015,29454.3669142447,8742.40004957463,3140.54559538248,40110.8835527306,18122.8389621197
0,2012,"academic",2015,30197.3811282212,9006.40095327886,3285.47173336127,41091.3137177876,18559.6860727006
0,2013,"academic",2015,30783.419553417,9077.38484391856,3311.17662117502,41841.7891145396,18781.0428346376
0,2014,"academic",2015,31336.0465141658,9160.50715634837,3341.6568478489,42516.9738929696,18963.1012549843
0,2015,"academic",2015,32405,9410,3435,43921,19548
