"statefip","state","abbrev","region","year","tufees_pub2","tufees_pub4","dollars","year_type"
1,"Alabama","AL",3,2004,3437.42403379092,5682.83812038015,2015,"academic"
2,"Alaska","AK",4,2004,,4328.28136219641,2015,"academic"
4,"Arizona","AZ",4,2004,1755.25354804646,5138.49531151003,2015,"academic"
5,"Arkansas","AR",3,2004,2361.33894403379,5772.30186906019,2015,"academic"
6,"California","CA",4,2004,1018.12266103485,5285.92148891235,2015,"academic"
8,"Colorado","CO",4,2004,2794.79710665259,4703.77709609292,2015,"academic"
9,"Connecticut","CT",1,2004,3031.68703273495,7983.69453009504,2015,"academic"
10,"Delaware","DE",3,2004,2555.3870749736,8352.89,2015,"academic"
11,"District of Columbia","DC",3,2004,,3175.33305174234,2015,"academic"
12,"Florida","FL",3,2004,2242.89398099261,3848.20124604013,2015,"academic"
13,"Georgia","GA",3,2004,2614.60955649419,4298.04009503696,2015,"academic"
15,"Hawaii","HI",4,2004,1837.15697993664,4266.5387750792,2015,"academic"
16,"Idaho","ID",4,2004,2265.5749313622,4524.84959873284,2015,"academic"
17,"Illinois","IL",2,2004,2507.5050686378,8182.78287222809,2015,"academic"
18,"Indiana","IN",2,2004,3255.97643083421,7367.52871172122,2015,"academic"
19,"Iowa","IA",2,2004,3679.35417106653,6813.10548046462,2015,"academic"
20,"Kansas","KS",2,2004,2226.51329461457,5345.14397043295,2015,"academic"
21,"Kentucky","KY",3,2004,3490.34625131996,5639.99632523759,2015,"academic"
22,"Louisiana","LA",3,2004,2189.97176346357,4453.02658922914,2015,"academic"
23,"Maine","ME",1,2004,3269.83701161563,7057.55572333685,2015,"academic"
24,"Maryland","MD",3,2004,3752.43723336853,8530.55744456177,2015,"academic"
25,"Massachusetts","MA",1,2004,4235.03745512144,8863.21138331573,2015,"academic"
26,"Michigan","MI",2,2004,2513.80533262936,7930.772312566,2015,"academic"
27,"Minnesota","MN",2,2004,4781.90036958817,8143.72123548046,2015,"academic"
28,"Mississippi","MS",3,2004,1948.04162618796,5028.87071805702,2015,"academic"
