"fips","name","year","income_pc"
"00","United States","1985","14719"
"00","United States","1986","15459"
"00","United States","1987","16265"
"00","United States","1988","17426"
"00","United States","1989","18653"
"00","United States","1990","19591"
"00","United States","1991","19985"
"00","United States","1992","21060"
"00","United States","1993","21698"
"00","United States","1994","22538"
"00","United States","1995","23568"
"00","United States","1996","24728"
"00","United States","1997","25950"
"00","United States","1998","27510"
"00","United States","1999","28627"
"00","United States","2000","30602"
"00","United States","2001","31540"
"00","United States","2002","31815"
"00","United States","2003","32692"
"00","United States","2004","34316"
"00","United States","2005","35904"
"00","United States","2006","38144"
"00","United States","2007","39821"
"00","United States","2008","41082"
"00","United States","2009","39376"
"00","United States","2010","40277"
"00","United States","2011","42453"
"00","United States","2012","44266"
"00","United States","2013","44438"
"00","United States","2014","46049"
"01","Alabama","1985","11565"
"01","Alabama","1986","12183"
"01","Alabama","1987","12823"
"01","Alabama","1988","13765"
"01","Alabama","1989","14965"
"01","Alabama","1990","15820"
"01","Alabama","1991","16506"
"01","Alabama","1992","17537"
"01","Alabama","1993","18082"
"01","Alabama","1994","18938"
"01","Alabama","1995","19866"
"01","Alabama","1996","20569"
"01","Alabama","1997","21480"
"01","Alabama","1998","22760"
"01","Alabama","1999","23516"
"01","Alabama","2000","24649"
"01","Alabama","2001","25569"
"01","Alabama","2002","26093"
"01","Alabama","2003","27045"
"01","Alabama","2004","28802"
"01","Alabama","2005","30202"
"01","Alabama","2006","31683"
"01","Alabama","2007","32911"
"01","Alabama","2008","33910"
"01","Alabama","2009","33027"
"01","Alabama","2010","34073"
"01","Alabama","2011","35202"
"01","Alabama","2012","36036"
"01","Alabama","2013","36176"
"01","Alabama","2014","37512"
"02","Alaska","1985","20230"
"02","Alaska","1986","19969"
"02","Alaska","1987","19340"
"02","Alaska","1988","20066"
"02","Alaska","1989","21820"
"02","Alaska","1990","22863"
"02","Alaska","1991","23149"
"02","Alaska","1992","23938"
"02","Alaska","1993","24753"
"02","Alaska","1994","25404"
"02","Alaska","1995","26041"
"02","Alaska","1996","26565"
"02","Alaska","1997","27812"
"02","Alaska","1998","28751"
"02","Alaska","1999","29442"
"02","Alaska","2000","31481"
"02","Alaska","2001","32870"
"02","Alaska","2002","33978"
"02","Alaska","2003","35268"
"02","Alaska","2004","36577"
"02","Alaska","2005","38521"
"02","Alaska","2006","40545"
"02","Alaska","2007","43388"
"02","Alaska","2008","47271"
"02","Alaska","2009","46192"
"02","Alaska","2010","47773"
"02","Alaska","2011","50552"
"02","Alaska","2012","52269"
"02","Alaska","2013","51259"
"02","Alaska","2014","54012"
"04","Arizona","1985","13838"
"04","Arizona","1986","14598"
"04","Arizona","1987","15195"
"04","Arizona","1988","15916"
"04","Arizona","1989","16699"
"04","Arizona","1990","17204"
"04","Arizona","1991","17573"
"04","Arizona","1992","18129"
"04","Arizona","1993","18800"
"04","Arizona","1994","19755"
"04","Arizona","1995","20594"
"04","Arizona","1996","21572"
"04","Arizona","1997","22680"
"04","Arizona","1998","24164"
"04","Arizona","1999","24987"
"04","Arizona","2000","26553"
"04","Arizona","2001","27220"
"04","Arizona","2002","27590"
"04","Arizona","2003","28446"
"04","Arizona","2004","30222"
"04","Arizona","2005","32429"
"04","Arizona","2006","34848"
"04","Arizona","2007","35929"
"04","Arizona","2008","36077"
"04","Arizona","2009","34063"
"04","Arizona","2010","34185"
"04","Arizona","2011","35675"
"04","Arizona","2012","36788"
"04","Arizona","2013","36723"
"04","Arizona","2014","37895"
"05","Arkansas","1985","11208"
"05","Arkansas","1986","11750"
"05","Arkansas","1987","12157"
"05","Arkansas","1988","13039"
"05","Arkansas","1989","13969"
"05","Arkansas","1990","14635"
"05","Arkansas","1991","15288"
"05","Arkansas","1992","16451"
"05","Arkansas","1993","16986"
"05","Arkansas","1994","17762"
"05","Arkansas","1995","18579"
"05","Arkansas","1996","19444"
"05","Arkansas","1997","20149"
"05","Arkansas","1998","21190"
"05","Arkansas","1999","21856"
"05","Arkansas","2000","22803"
"05","Arkansas","2001","23873"
"05","Arkansas","2002","24237"
"05","Arkansas","2003","25462"
"05","Arkansas","2004","26855"
"05","Arkansas","2005","27915"
"05","Arkansas","2006","29479"
"05","Arkansas","2007","31180"
"05","Arkansas","2008","32434"
"05","Arkansas","2009","31629"
"05","Arkansas","2010","31991"
"05","Arkansas","2011","33961"
"05","Arkansas","2012","36291"
"05","Arkansas","2013","36529"
"05","Arkansas","2014","37782"
"06","California","1985","16767"
"06","California","1986","17573"
"06","California","1987","18491"
"06","California","1988","19606"
"06","California","1989","20576"
"06","California","1990","21494"
"06","California","1991","21824"
"06","California","1992","22644"
"06","California","1993","22964"
"06","California","1994","23535"
"06","California","1995","24595"
"06","California","1996","25885"
"06","California","1997","27147"
"06","California","1998","29133"
"06","California","1999","30663"
"06","California","2000","33391"
"06","California","2001","34091"
"06","California","2002","34306"
"06","California","2003","35381"
"06","California","2004","37244"
"06","California","2005","39046"
