,High school or equivalent,"Some college, no degree",Associate degree,Bachelor's degree,Advanced degree
1992,30574.48325,34942.26657,38436.49323,46298.50321,55907.62651
1993,29109.06021,33926.6436,39015.64014,46649.13495,55978.96194
1994,29771.65992,33079.62213,37545.37112,47634.65587,54581.37652
1995,28951.1811,33776.37795,36993.17585,45035.1706,54685.5643
1996,29245.67495,32495.19439,36611.7731,46868.06883,56866.59018
1997,30544.54829,33599.00312,38180.68536,45816.82243,54216.57321
1998,30827.97546,34587.48466,37595.09202,46617.91411,58646.83975
1999,30897.47899,35311.40456,39725.33013,50024.4898,58852.34094
2000,31316.14402,35586.52729,38433.44948,49821.13821,58808.87154
2001,31833.76623,35985.99661,40138.22699,49826.76454,60899.37888
2002,31338.29906,35425.90328,40876.04225,51095.05281,60632.796
2003,31972.17391,35968.69565,39965.21739,51954.78261,59947.82609
2004,31142.82689,35035.68025,38928.53362,50607.0937,61896.36845
2005,31377.36815,36397.74706,37652.84178,48948.69432,58989.45212
2006,30396.8254,35260.31746,37564.39683,48634.92063,58969.84127
2007,29555.03468,34283.84023,35520.42288,47288.05548,58235.24033
2008,28462.21372,34154.65646,37000.87783,46678.0305,59541.81261
2009,29706.39097,34276.60497,39989.37246,49129.80045,59412.78194
2010,28102.87266,33723.44719,38219.90681,47212.82606,60702.20494
2011,28332.65908,32691.5297,38140.11799,45768.14159,56556.34639
2012,28825.8404,32028.71155,37366.83014,44842.33142,57651.68079
2013,29461.91786,31566.34057,35775.18598,47349.51085,57871.62438
2014,28991.61936,31062.44931,36239.5242,46593.67397,56947.82374
2015,28957.24779,31025.62263,34128.1849,48606.80879,56880.30816
2016,29619.84542,32681.71345,35745.62409,49022.57018,60256.90917
2017,30000,30000,35000,49920,60000
