,Amount
Vermont,16610
New Hampshire,16460
Pennsylvania,14770
New Jersey,14180
Illinois,13970
Virginia,13490
Michigan,13420
Massachusetts,13200
South Carolina,12950
Connecticut,12760
Delaware,12700
Rhode Island,12530
Arizona,11540
Minnesota,11540
Colorado,11140
Alabama,10870
Hawaii,10800
Ohio,10790
Kentucky,10710
Oregon,10610
Texas,10300
Maine,10230
United States,10230
Tennessee,9950
Maryland,9900
California,9870
Washington,9760
Louisiana,9550
Indiana,9490
Kansas,9100
Iowa,9080
Wisconsin,9080
Oklahoma,8750
Arkansas,8710
South Dakota,8690
Missouri,8670
North Dakota,8660
Georgia,8580
Nebraska,8510
Mississippi,8420
West Virginia,8290
New York,8190
Alaska,7820
Nevada,7660
Idaho,7590
North Carolina,7220
New Mexico,7130
Montana,7100
Utah,6990
Florida,6360
Wyoming,5400
