,$0 ,"$1-$4,999","$5,000-$9,999","$10,000-$14,999","$150,000-$199,999","$200,000 or higher "
Dependent,0.461107,0.181927,0.149743,0.101339,0.051651,0.054233
Independent,0.319586,0.229817,0.189818,0.116198,0.065753,0.078827
