,High school graduate,Associate degree,Bachelor's degree
18,5300,-2874.760724,-8822.251955
19,14517.3913,-5735.633715,-17601.88433
20,28766.49863,-8362.890372,-26339.10303
21,44063.44692,10949.50684,-35034.11294
22,62076.15777,24805.43826,-43687.11798
23,79925.98891,41762.77784,-20482.3375
24,97172.20257,59008.9915,5386.982992
25,116334.6622,84003.50405,38712.99973
26,136459.0684,108152.7915,70912.85469
27,155436.2863,132263.1913,102023.0479
28,177228.4506,154806.8096,138092.8371
29,197557.6394,176588.0833,172216.8326
30,216076.9832,198334.2824,203783.8959
31,234376.7301,222056.1765,237672.316
32,252057.6449,241701.6374,270414.7509
33,269140.6544,265111.6875,304960.3924
34,285645.9776,288341.4016,335525.8057
35,303365.0578,311966.8419,366829.514
36,320484.942,332510.703,397074.6428
37,337025.893,353462.5742,424642.8944
38,353646.7519,375840.0037,455274.2851
39,369396.7297,396428.2099,486156.5945
40,384315.7198,417155.1628,515994.5746
41,399691.1685,435413.5082,545784.5065
42,414546.6745,453982.8906,573638.5802
43,428002.7487,473269.9304,600999.2645
44,441437.1546,490604.6476,627001.3404
45,455966.4949,509214.3459,652124.119
46,469316.7637,525396.4899,674374.567
47,481433.8281,542985.7769,696263.4575
48,493329.9642,558091.9815,719678.0746
49,504641.3735,572687.3483,741571.1248
50,516099.0889,586822.2912,761666.195
51,526999.0338,600447.2222,783806.708
52,537322.3873,615915.1392,805198.5079
53,548451.5289,628634.794,824277.0363
54,559818.768,641845.3693,842710.3971
55,569614.2738,655796.5441,860520.4075
56,578791.7348,668702.3487,877705.2034
57,588490.1388,679232.0444,892945.5524
58,597860.5773,691547.478,909009.1614
59,606138.1214,701894.4081,925046.903
60,613635.8968,713640.9229,938417.9359
61,621604.5471,722333.9959,951626.5773
62,628603.8007,731666.334,964388.5497
63,635366.3645,741810.1798,977237.421
64,642989.2223,749433.0376,987473.8301
65,648755.0278,754904.2399,997995.373
