,Need-based,Non-need-based
76-77,379.2549099,0
77-78,403.0306987,0
78-79,421.5031119,0
79-80,379.7366014,0
80-81,343.1595071,0
81-82,321.1951834,0
82-83,303.7172092,31.42975218
83-84,318.4133971,33.59685083
84-85,355.4507257,36.58614164
85-86,372.3509405,36.60105995
86-87,393.3662384,40.48944842
87-88,376.2096847,39.97724306
88-89,372.0614026,42.13886638
89-90,369.6832802,46.49814607
90-91,356.0413346,46.43087116
91-92,344.7491636,40.91919545
92-93,370.0068909,40.54087848
93-94,415.7322696,45.77557481
94-95,447.4860146,66.09756599
95-96,439.5262034,73.4628994
96-97,440.4229347,78.38469447
97-98,455.0824001,90.98351497
98-99,472.9721572,107.2455536
99-00,480.7763938,133.8385816
00-01,506.4735162,157.0125519
01-02,512.3372171,161.8964181
02-03,501.1940843,151.988022
03-04,513.0503693,176.1991167
04-05,535.8418514,198.0210797
05-06,532.1599701,204.8929294
06-07,538.7737815,211.7229294
07-08,553.751537,209.4205202
08-09,527.9158768,204.0911895
09-10,518.1109752,195.6200006
10-11,501.6522532,207.0434435
11-12,517.6494455,180.7017749
12-13,537.0333643,177.7933587
13-14,548.8579615,177.6478366
14-15,578.8341874,180.7333494
15-16,602.1803113,190.2468844
16-17,623.6610989,193.1323659
