,2011‒12,2012‒13,2013‒14
For-profit two-year,0.177,0.168,0.175
For-profit four-year,0.147,0.14,0.146
Public two-year,0.191,0.185,0.183
Public four-year,0.076,0.073,0.075
Private nonprofit four-year,0.063,0.065,0.07
All,0.118,0.113,0.115
