,Average per borrower,Average per student
2001-02,6142.49,1417.88
2002-03,6208.31,1498.38
2003-04,6254.21,1658.01
2004-05,6215.33,1722.40
2005-06,6112.81,1730.84
2006-07,5899.02,1671.94
2007-08,6253.19,1815.31
2008-09,7423.19,2286.54
2009-10,7568.98,2588.23
2010-11,6974.56,2566.68
2011-12,6663.90,2512.99
2012-13,6671.68,2454.95
2013-14,6986.51,2331.64
2014-15,6751.43,2175.54
2015-16,6653.04,2049.56
2016-17,6590.12,1928.81
