,Millions of accounts
2002,2.7766
2003,3.8394
2004,4.9685
2005,6.0267
2006,7.536
2007,8.6994
2008,9.8129
2009,10.1153
2010,10.1601
2011,10.7434
2012,11.104
2013,11.5962
2014,12.108
2015,12.5409
2016,12.8652
2017,13.2628
2018,13.621
