,Average room and board charges
North Dakota,3236.6
Idaho,3423.85
Utah,3435.64
South Dakota,3762.74
Montana,3769.71
Wyoming,4493
New Mexico,4501.93
Oklahoma,4589.4
Wisconsin,4699.18
Tennessee,4827.88
Maine,4937.3
Kansas,4948.85
Michigan,4970.9
Colorado,4993.6
Arkansas,5145.26
Minnesota,5175.73
Texas,5188.98
Iowa,5236.18
West Virginia,5283.52
North Carolina,5408.86
Alabama,5423.3
Mississippi,5538.63
Nebraska,5631.05
Nevada,5706.41
Louisiana,5754.31
Hawaii,5756.42
Kentucky,5791.25
South Carolina,5823.4
Alaska,5830.02
Indiana,5847.91
Florida,5861.63
Virginia,5907.36
Georgia,6174.53
Maryland,6250.3
United States,6359.41
Missouri,6372.15
Illinois,6479
Pennsylvania,6551.69
Connecticut,6558.5
Washington,6625.72
Ohio,6658.64
Arizona,6735.58
New Hampshire,6837.95
Vermont,7195.9
Oregon,7203.29
Delaware,7258.79
Rhode Island,7352.35
Massachusetts,7509.16
California,7841.22
New Jersey,8004.13
New York,9010.48
