,Family with head 45-54,Couple with child(ren),All families,Single with child(ren
1989,184200,115700,87500,13500
1992,131200,101400,83100,14300
1995,148600,103100,90600,18800
1998,155800,128500,105800,23800
2001,182400,154000,117300,17900
2004,184700,155400,118400,26500
2007,214100,163000,139700,26500
2010,130300,95800,85400,17200
2013,108600,95300,83700,14500
2016,124200,116700,97300,21700
