,White non-Hispanic,"Black, non-Hispanic",Hispanic,Other
1989,132700,7400,9700,65400
1992,116900,16600,11400,62300
1995,120000,17100,19000,48900
1998,141400,22900,14500,56600
2001,166300,26300,15500,71300
2004,179300,26000,19400,90200
2007,198300,24400,24400,70300
2010,144300,17600,17900,47100
2013,146400,13600,14200,42500
2016,171000,17100,20500,64700
