,,Four years,Five years ,Six years
Tuition and fees,Public four-year in-state,39200.58,49746.6,60609
Debt,Public four-year in-state,25880,32350,38820
Tuition and fees,Public four-year out-of-state,76434.87,96997.91,118177.85
Debt,Public four-year out-of-state,26280,32850,39420
Tuition and Fees,Private nonprofit four-year,92541.82924,117438.0841,143081.2266
Debt,Private nonprofit four-year,27880,27880,27880
Tuition and Fees,For-profit,72293.07456,91741.8668,111774.1228
Debt,For-profit,36120,45150,54180
Tuition and Fees,Public two-year,15646.76498,19856.16793,24191.85297
Debt,Public two-year,7920,9900,11880
