,Annual spending
"'07‒'08",820
"'08‒'09",
"'09‒'10",760
"'10‒'11",
"'11‒'12",710
"'12‒'13",710
"'13‒'14",670
"'14‒'15",580
"'15‒'16",620
"'16‒'17",590
"'17‒'18",480
