,Tuition and fees,Room and board,Books and supplies,Transportation,Other
2002‒03,2280,7750,990,1450,2150
2007‒08,2700,8120,1100,1510,2150
2012‒13,3370,7840,1320,1780,2320
2017‒18,3570,8400,1420,1780,2410
