,"  Less than $27,900","  $27,900-62,999","  $63,000-113,499","  $113,500 or more"
All undergraduates,0.252320553,0.25322096,0.252584634,0.241873852
First-year undergraduates ,0.256894425,0.25820538,0.262268243,0.222631953
