,Tuition and fees left over,Grant aid
For-profit,10099.3877,4823.921202
Private nonprofit bachelor's,11219.4502,21268.96959
Private nonprofit master's,14135.73828,16376.87893
Private nonprofit research,15618.95215,25863.48184
Private nonprofit special focus or two-year,14128.98438,10614.62674
Public associate,-770.0126953,3908.756333
Public bachelor's,896.8004761,5815.687794
Public master's,1328.667847,6860.762833
Public research,1245.223389,9246.588148
Public Special Focus,1006.85553,5252.896444
