,No work last year,Part year or part time,Full year full time
High school diploma or GED,0.040650612,0.270640444,0.688708944
"Some college, no degree",0.030624117,0.257324033,0.71205185
Associate degree,0.022914549,0.248300143,0.728785308
Bachelor's degree,0.014704161,0.206947348,0.778348491
Advanced degree,0.0097775,0.201319044,0.788903457
