,High school diploma or GED,"Some college, no degree",Associate degree,Bachelor's degree,Advanced degree
Ages 25-34,24043,26329,30912,41769,52268
Ages 35-44,30379,36064,40552,57720,74221
Ages 45-54,32973,40505,45000,62783,83817
Ages 55-64,33796,40700,45621,60828,82431
