,Amount
Vermont,8190
New Hampshire,7090
South Dakota,6700
Massachusetts,6300
South Carolina,5640
New York,5490
Pennsylvania,5480
Minnesota,5440
Iowa,5320
Kentucky,5310
Oregon,5310
Virginia,5260
New Jersey,5040
Delaware,4850
North Dakota,4830
Alabama,4760
Ohio,4720
Indiana,4710
Maryland,4680
Rhode Island,4560
Tennessee,4560
Wisconsin,4550
Colorado,4510
Washington,4440
Connecticut,4400
Oklahoma,4380
West Virginia,4320
Idaho,4190
Louisiana,4190
Illinois,4140
Hawaii,3920
Michigan,3860
Georgia,3810
Utah,3810
Maine,3750
Montana,3730
Arkansas,3700
United States,3660
Missouri,3580
Nevada,3400
Florida,3250
Wyoming,3240
Mississippi,3190
Nebraska,3180
Kansas,3130
Texas,2620
Arizona,2580
North Carolina,2470
New Mexico,1840
California,1430
