,25th percentile and below,25th percentile to median,Median to 75th percentile
White,18136.58,24535.99,33736.86
Asian,17441.68,24535.99,36273.17
Hispanic,15840.05,21159.35,29200.86
Black,15209.2,21120.4,29403.12
