,,Four years,Five years ,Six years
Tuition and Fees,Public four-year in-state,42882.17675,54418.64205,66301.20131
Debt,Public four-year in-state,27600,34500,41400
Tuition and Fees,Public four-year out-of-state,92541.82924,117438.0841,143081.2266
Debt,Public four-year out-of-state,31400,39250,47100
Tuition and Fees,Private nonprofit four-year,144293.2952,183112.0941,223095.4569
Debt,Private nonprofit four-year,46080,57600,69120
Tuition and Fees,For-profit,88609.21986,112447.4965,137000.9213
Debt,For-profit,52280,65350,78420
Tuition and Fees,Public two-year,16901.85308,21448.90867,26132.37593
Debt,Public two-year,5400,6750,8100
