,Four years or less,Five years,Six years,Seven years or more
Public four-year,0.10119752,0.393198272,0.29903682,0.206567388
Private nonprofit four-year,0.170155719,0.530310598,0.174945062,0.124588621
Other,0.161591918,0.164368843,0.199087382,0.474951857
All ,0.121923778,0.417451998,0.262163826,0.198460397
