,Pell grant per FTE undergraduate,Veterans' and military aid per FTE undergraduate
'90‒'91,1070,140
'91‒'92,1160,160
'92‒'93,1200,170
'93‒'94,1080,180
'94‒'95,1030,180
'95‒'96,990,170
'96‒'97,1000,160
'97‒'98,1060,160
'98‒'99,1180,170
'99‒'00,1120,160
'00‒'01,1170,180
'01‒'02,1360,200
'02‒'03,1500,230
'03‒'04,1560,250
'04‒'05,1530,260
'05‒'06,1410,260
'06‒'07,1350,260
'07‒'08,1470,260
'08‒'09,1660,280
'09‒'10,2570,600
'10‒'11,2930,730
'11‒'12,2680,720
'12‒'13,2570,830
'13‒'14,2510,840
'14‒'15,2430,840
'15‒'16,2300,870
'16‒'17,2180,830
'17‒'18,2270,870
