Loan balance,Default rate
"Less than $5,000 (19%)",.24
"$5,001‒$10,000 (17%)",.19
"$10,001‒$20,000 (20%)",.12
"$20,001‒$40,000 (21%)",.08
"More than $40,000 (23%)",.07
