 ,Federal grants,Veterans and military grants,State grants,Institutional grants,Employer and private grants
Public four-year,0.296668762,0.06750309,0.197487449,0.31144406,0.126895694
Private nonprofit four-year,0.101131613,0.033462102,0.049549582,0.737807219,0.078049563
Public two-year,0.558865364,0.120418079,0.141768803,0.098871303,0.080077499
For-profit,0.419746957,0.326582827,0.044745677,0.147978956,0.06094575
