,,Four years,Five years ,Six years
Tuition and fees,Public four-year in-state,42003.61508,53303.72353,64942.83524
Debt,Public four-year in-state,24040,30050,36060
Tuition and fees,Public four-year out-of-state,79823.60316,101298.3113,123417.2606
Debt,Public four-year out-of-state,40720,50900,61080
Tuition and fees,Private nonprofit four-year,141030.0662,178970.9682,218050.0972
Debt,Private nonprofit four-year,39200,49000,58800
Tuition and fees,For-profit,86391.89755,109633.6545,133572.6641
Debt,For-profit,52880,66100,79320
Tuition and fees,Public two-year,16065.12768,20387.08151,24838.69396
Debt,Public two-year,3800,4750,5700
