,25th percentile and below,25th percentile to median,Median to 75th percentile
18–20,14722,20278.6,26400.75
21–23,18168.12,24536.97,33250.4
24–26,22973.01,32242.82,47416.09
27–29,26400.75,39542.92,57099.82
30–34,30227.64,45626.6,68641.55
Total,24333.72,36336.25,55417.34
