,No high school diploma,High school diploma,Some college,College degree
1989,45000,68700,86000,234000
1992,31300,64500,95600,183900
1995,35500,81300,78300,189600
1998,31100,79800,113100,251000
2001,34600,78700,112300,329200
2004,26200,87400,99900,344200
2007,38400,93200,113600,373800
2010,17800,62600,63200,275900
2013,17700,54100,52300,285600
2016,22800,67100,66000,292100
