,Average account size
2002,13495.2824
2003,16310.1654
2004,17243.35547
2005,17527.93944
2006,17514.36994
2007,17914.6239
2008,12813.54031
2009,15388.8954
2010,17811.04445
2011,17138.89488
2012,18848.59782
2013,21175.60253
2014,21954.06217
2015,21509.95632
2016,22318.28398
2017,24593.1388
2018,24146.53843
