,,Completed degree at two-year college,Completed bachelor's degere at four-year college,Still enrolled,"Not enrolled, did not complete degree"
Public four-year ,Full-time,0.019525509,0.784705353,0.038432127,0.157336992
Private nonprofit four-year,Full-time,0.011623036,0.82722163,0.027260485,0.133894794
For-profit,Full-time,0.011643053,0.435189961,0.03969143,0.513475555
Public two-year,Full-time,0.299121723,0.246774483,0.036029218,0.41807456
Public four-year ,Mixed,0.04508098,0.45125787,0.236816666,0.266844451
Private nonprofit four-year,Mixed,0.04538387,0.480632612,0.213710054,0.260273372
For-profit,Mixed,0.028359177,0.224745776,0.191480526,0.55541461
Public two-year,Mixed,0.216532316,0.135190932,0.222687513,0.425589132
