,Tuition and fees left over,Grant Aid
For-profit,0.753416476,0.246583524
Private nonprofit bachelor's,0.443861583,0.556138417
Private nonprofit master's,0.588992013,0.411007987
Private nonprofit research,0.57713603,0.42286397
Private nonprofit special focus or two-y,0.543010215,0.456989785
Public associate,0.441103775,0.558896225
Public bachelor's,0.506736324,0.493263676
Public master's,0.443470922,0.556529078
Public research,0.439019725,0.560980275
