,25th percentile and below,25th percentile to median,Median to 75th percentile
18-20,12167.36,17649.24,23513.45
21-23,15572.68,21753.8,30227.64
24-26,21120.4,30417.4,42240.8
27-29,25189.7,35781.95,50696
30-34,26600.32,40303.52,57792.96
Total,22112.68,32715.32,48793.58
