,type,four years,five years,six years
Tuition and fees,type1,20069,22899,24908
Debt,type1,29649,43775,52166
Tuition and fees,type2,20069,22899,24908
Debt,type2,29649,43775,52166
Tuition and fees,type3,20069,22899,24908
Debt,type3,29649,43775,52166
Tuition and fees,type4,20069,22899,24908
Debt,type4,29649,43775,52166
Tuition and fees,type5,20069,22899,24908
Debt,type5,29649,43775,52166
