California,1430
New Mexico,1840
North Carolina,2470
Arizona,2580
Texas,2620
Kansas,3130
Nebraska,3180
Mississippi,3190
Wyoming,3240
Florida,3250
Nevada,3400
Missouri,3580
United States,3660
Arkansas,3700
Montana,3730
Maine,3750
Georgia,3810
Utah,3810
Michigan,3860
Hawaii,3920
Illinois,4140
Idaho,4190
Louisiana,4190
West Virginia,4320
Oklahoma,4380
Connecticut,4400
Washington,4440
Colorado,4510
Wisconsin,4550
Rhode Island,4560
Tennessee,4560
Maryland,4680
Indiana,4710
Ohio,4720
Alabama,4760
North Dakota,4830
Delaware,4850
New Jersey,5040
Virginia,5260
Kentucky,5310
Oregon,5310
Iowa,5320
Minnesota,5440
Pennsylvania,5480
New York,5490
South Carolina,5640
Massachusetts,6300
South Dakota,6700
New Hampshire,7090
Vermont,8190
