,25th percentile and below,25th percentile to median,Median to 75th percentile
White,30417.4,43915.03,63478.04
Asian,31692.78,55023.26,83053.27
Hispanic,21120.4,30417.4,45626.6
Black,22491.91,31692.78,47027.9
Other,25954.46,39450.58,58807.24
