Wyoming,5400
Florida,6360
Utah,6990
Montana,7100
New Mexico,7130
North Carolina,7220
Idaho,7590
Nevada,7660
Alaska,7820
New York,8190
West Virginia,8290
Mississippi,8420
Nebraska,8510
Georgia,8580
North Dakota,8660
Missouri,8670
South Dakota,8690
Arkansas,8710
Oklahoma,8750
Iowa,9080
Wisconsin,9080
Kansas,9100
Indiana,9490
Louisiana,9550
Washington,9760
California,9870
Maryland,9900
Tennessee,9950
Maine,10230
United States,10230
Texas,10300
Oregon,10610
Kentucky,10710
Ohio,10790
Hawaii,10800
Alabama,10870
Colorado,11140
Arizona,11540
Minnesota,11540
Rhode Island,12530
Delaware,12700
Connecticut,12760
South Carolina,12950
Massachusetts,13200
Michigan,13420
Virginia,13490
Illinois,13970
New Jersey,14180
Pennsylvania,14770
New Hampshire,16460
Vermont,16610
