,Amount
Public doctoral in-state,11120 
Public master's in-state,8850 
Public bachelor's in-state,8600 
Public two-year in-district,3660 
Private nonprofit doctoral,44020 
Private nonprofit master's,30450 
Private nonprofit bachelor's,34920 
For-profit,14000 
