,$0 ,"$1-$4,999","$5,000-$9,999","$10,000-$14,999","$150,000-$199,999","$200,000 or higher "
Dependent,0.273734,0.202486,0.208677,0.130272,0.073592,0.111239
Independent,0.260954,0.223948,0.202446,0.13674,0.072417,0.103496
