,Public four-year,Private four-year,Public two-year,For-profit,Other
  Exclusively full-time,0.224442,0.137619,0.352712,0.140022,0.145205
  Exclusively half-time,0.050675,0.042262,0.795881,0.071072,0.04011
  Exclusively less than half-time,0.04603,0.018567,0.905619,0.020328,0.009456
  Mixed,0.111237,0.058522,0.714837,0.080234,0.035169
