,White non-Hispanic,"Black, non-Hispanic",Hispanic,Other
1989,132.7,7.4,9.7,65.4
1992,116.9,16.6,11.4,62.3
1995,120,17.1,19,48.9
1998,141.4,22.9,14.5,56.6
2001,166.3,26.3,15.5,71.3
2004,179.3,26,19.4,90.2
2007,198.3,24.4,24.4,70.3
2010,144.3,17.6,17.9,47.1
2013,146.4,13.6,14.2,42.5
2016,171,17.1,20.5,64.7
