,Average per borrower,Average per student
"  Less than $27,900 (55%)",6869.08,3807.39
"  $27,900-62,999 (60%)",7605.19,4611.48
"  $63,000-113,499 (58%)",8467.72,4988.54
"  $113,500 or more (49%)",9259.09,4559.32
