"Under $6,000",Private nonprofit four-year,0.030643933
"$6,000 to $8,999",Private nonprofit four-year,0.051171865
"$9,000 to $11,999",Private nonprofit four-year,0.013055952
"$12,000 to $14,999",Private nonprofit four-year,0.015537617
"$15,000 to $17,999",Private nonprofit four-year,0.02385151
"$18,000 to $20,999",Private nonprofit four-year,0.030532398
"$21,000 to $23,999",Private nonprofit four-year,0.027333397
"$24,000 to $26,999",Private nonprofit four-year,0.050104182
"$27,000 to $29,999",Private nonprofit four-year,0.075142556
"$30,000 to $32,999",Private nonprofit four-year,0.086375712
"$33,000 to $35,999",Private nonprofit four-year,0.071708342
"$36,000 to $38,999",Private nonprofit four-year,0.071085902
"$39,000 to $41,999",Private nonprofit four-year,0.076621301
"$42,000 to $44,999",Private nonprofit four-year,0.06131575
"$45,000 to $47,999",Private nonprofit four-year,0.056774276
"$48,000 to $50,000",Private nonprofit four-year,0.062546689
"$51,000 and over",Private nonprofit four-year,0.196198618
"Under $6,000",Public and private nonprofit four-year combined,0.029169577
"$6,000 to $8,999",Public and private nonprofit four-year combined,0.237880565
"$9,000 to $11,999",Public and private nonprofit four-year combined,0.206059846
"$12,000 to $14,999",Public and private nonprofit four-year combined,0.121799233
"$15,000 to $17,999",Public and private nonprofit four-year combined,0.045564032
"$18,000 to $20,999",Public and private nonprofit four-year combined,0.027483711
"$21,000 to $23,999",Public and private nonprofit four-year combined,0.022306892
"$24,000 to $26,999",Public and private nonprofit four-year combined,0.029118189
"$27,000 to $29,999",Public and private nonprofit four-year combined,0.036039732
"$30,000 to $32,999",Public and private nonprofit four-year combined,0.035864512
"$33,000 to $35,999",Public and private nonprofit four-year combined,0.034484199
"$36,000 to $38,999",Public and private nonprofit four-year combined,0.029130319
"$39,000 to $41,999",Public and private nonprofit four-year combined,0.024166923
"$42,000 to $44,999",Public and private nonprofit four-year combined,0.021789817
"$45,000 to $47,999",Public and private nonprofit four-year combined,0.018097723
"$48,000 to $50,000",Public and private nonprofit four-year combined,0.020791956
"$51,000 and over",Public and private nonprofit four-year combined,0.060252773
"Under $6,000",Public four-year,0.028516126
"$6,000 to $8,999",Public four-year,0.320632024
"$9,000 to $11,999",Public four-year,0.291601408
"$12,000 to $14,999",Public four-year,0.168895613
"$15,000 to $17,999",Public four-year,0.055187273
"$18,000 to $20,999",Public four-year,0.026132498
"$21,000 to $23,999",Public four-year,0.020079086
"$24,000 to $26,999",Public four-year,0.019816953
"$27,000 to $29,999",Public four-year,0.018708908
"$30,000 to $32,999",Public four-year,0.013477363
"$33,000 to $35,999",Public four-year,0.017986028
"$36,000 to $38,999",Public four-year,0.010535119
"$39,000 to $41,999",Public four-year,0.000918534
"$42,000 to $44,999",Public four-year,0.004271466
"$45,000 to $47,999",Public four-year,0.000955827
"$48,000 to $50,000",Public four-year,0.002285775
"$51,000 and over",Public four-year,0
