,Accounts in millions
2002,2.776630884
2003,3.839383016
2004,4.968514821
2005,6.026736796
2006,7.536004563
2007,8.69943745
2008,9.812909261
2009,10.11525629
2010,10.16008262
2011,10.7433709
2012,11.10399441
2013,11.59620098
2014,12.10803946
2015,11.64933135
2016,12.86536033
