,Personal savings rate
1959,0.102916667
1960,0.100666667
1961,0.112583333
1962,0.111
1963,0.106416667
1964,0.114916667
1965,0.113416667
1966,0.1105
1967,0.12175
1968,0.112166667
1969,0.107416667
1970,0.126083333
1971,0.132583333
1972,0.121166667
1973,0.130916667
1974,0.129083333
1975,0.13025
1976,0.11125
1977,0.1015
1978,0.102166667
1979,0.09825
1980,0.1055
1981,0.111916667
1982,0.114583333
1983,0.0945
1984,0.107333333
1985,0.085666667
1986,0.082166667
1987,0.0725
1988,0.078166667
1989,0.078166667
1990,0.07775
1991,0.081666667
1992,0.088833333
1993,0.073416667
1994,0.063
1995,0.063916667
1996,0.05925
1997,0.057416667
1998,0.061916667
1999,0.044083333
2000,0.041666667
2001,0.043
2002,0.050083333
2003,0.04825
2004,0.0455
2005,0.026
2006,0.033
2007,0.0295
2008,0.048666667
2009,0.061166667
2010,0.056
2011,0.060166667
2012,0.076166667
2013,0.05
2014,0.056583333
2015,0.060916667
2016,0.048833333
2017,0.033916667
2018,0.0305
