"rawname","year","type","studenttype","studentlevel"
"unitid",,"identifier",,
"institution.name","","identifier",,
"eftotal..ef1999..eflevel.20.","1999","enrollment","total",20
"efft..ef1999..eflevel.20.","1999","enrollment","fulltime",20
"efpt..ef1999..eflevel.20.","1999","enrollment","parttime",20
"eftotal..ef1999..eflevel.50.","1999","enrollment","total",50
"efft..ef1999..eflevel.50.","1999","enrollment","fulltime",50
"efpt..ef1999..eflevel.50.","1999","enrollment","parttime",50
"eftotal..ef1998..eflevel.20.","1998","enrollment","total",20
"efft..ef1998..eflevel.20.","1998","enrollment","fulltime",20
"efpt..ef1998..eflevel.20.","1998","enrollment","parttime",20
"eftotal..ef1998..eflevel.50.","1998","enrollment","total",50
"efft..ef1998..eflevel.50.","1998","enrollment","fulltime",50
"efpt..ef1998..eflevel.50.","1998","enrollment","parttime",50
"eftotal..ef1997..eflevel.20.","1997","enrollment","total",20
"efft..ef1997..eflevel.20.","1997","enrollment","fulltime",20
"efpt..ef1997..eflevel.20.","1997","enrollment","parttime",20
"eftotal..ef1997..eflevel.50.","1997","enrollment","total",50
"efft..ef1997..eflevel.50.","1997","enrollment","fulltime",50
"efpt..ef1997..eflevel.50.","1997","enrollment","parttime",50
"eftotal..ef1996..eflevel.20.","1996","enrollment","total",20
"efft..ef1996..eflevel.20.","1996","enrollment","fulltime",20
"efpt..ef1996..eflevel.20.","1996","enrollment","parttime",20
"eftotal..ef1996..eflevel.50.","1996","enrollment","total",50
"efft..ef1996..eflevel.50.","1996","enrollment","fulltime",50
"efpt..ef1996..eflevel.50.","1996","enrollment","parttime",50
"eftotal..ef1995..eflevel.20.","1995","enrollment","total",20
"efft..ef1995..eflevel.20.","1995","enrollment","fulltime",20
"efpt..ef1995..eflevel.20.","1995","enrollment","parttime",20
"eftotal..ef1995..eflevel.50.","1995","enrollment","total",50
"efft..ef1995..eflevel.50.","1995","enrollment","fulltime",50
"efpt..ef1995..eflevel.50.","1995","enrollment","parttime",50
"eftotal..ef1994..eflevel.20.","1994","enrollment","total",20
"efft..ef1994..eflevel.20.","1994","enrollment","fulltime",20
"efpt..ef1994..eflevel.20.","1994","enrollment","parttime",20
"eftotal..ef1994..eflevel.50.","1994","enrollment","total",50
"efft..ef1994..eflevel.50.","1994","enrollment","fulltime",50
"efpt..ef1994..eflevel.50.","1994","enrollment","parttime",50
"eftotal..ef1993..eflevel.20.","1993","enrollment","total",20
"efft..ef1993..eflevel.20.","1993","enrollment","fulltime",20
"efpt..ef1993..eflevel.20.","1993","enrollment","parttime",20
"eftotal..ef1993..eflevel.50.","1993","enrollment","total",50
"efft..ef1993..eflevel.50.","1993","enrollment","fulltime",50
"efpt..ef1993..eflevel.50.","1993","enrollment","parttime",50
"eftotal..ef1992..eflevel.20.","1992","enrollment","total",20
"efft..ef1992..eflevel.20.","1992","enrollment","fulltime",20
"efpt..ef1992..eflevel.20.","1992","enrollment","parttime",20
"eftotal..ef1992..eflevel.50.","1992","enrollment","total",50
"efft..ef1992..eflevel.50.","1992","enrollment","fulltime",50
"efpt..ef1992..eflevel.50.","1992","enrollment","parttime",50
"eftotal..ef1991..eflevel.20.","1991","enrollment","total",20
"efft..ef1991..eflevel.20.","1991","enrollment","fulltime",20
"efpt..ef1991..eflevel.20.","1991","enrollment","parttime",20
"eftotal..ef1991..eflevel.50.","1991","enrollment","total",50
